Point_ID,Statistic_ID,Name,Duration,Month,Value,Weight,Gs,Phi,Point_ID2,Distance,Phi2
1,9,cross-correlation_lag0,24H,6,0.59239689,2,1,0.748330037,3,43.08104103,0.823781252
1,9,cross-correlation_lag0,24H,6,0.587580445,2,1,0.748330037,4,46.95451725,0.947486798
1,9,cross-correlation_lag0,24H,6,0.679781381,2,1,0.748330037,5,21.50425849,0.707152208
1,9,cross-correlation_lag0,24H,6,0.713758298,2,1,0.748330037,6,13.72646058,0.852440755
1,9,cross-correlation_lag0,24H,6,0.624896358,2,1,0.748330037,7,42.27067713,0.800399224
1,9,cross-correlation_lag0,24H,6,0.459112778,2,1,0.748330037,8,33.16082709,0.962992668
1,9,cross-correlation_lag0,24H,6,0.627274677,2,1,0.748330037,9,23.51627224,0.778599977
1,9,cross-correlation_lag0,24H,6,0.590005779,2,1,0.748330037,10,40.35819741,0.965325276
1,9,cross-correlation_lag0,24H,6,0.702574736,2,1,0.748330037,11,36.3266383,0.822619041
1,9,cross-correlation_lag0,24H,6,0.660886693,2,1,0.748330037,12,30.71894923,0.904166698
1,9,cross-correlation_lag0,24H,6,0.696966451,2,1,0.748330037,13,21.38471721,0.761597236
1,9,cross-correlation_lag0,24H,6,0.743837556,2,1,0.748330037,14,25.79545886,0.734205246
1,9,cross-correlation_lag0,24H,6,0.613187785,2,1,0.748330037,15,36.97039694,0.899933179
1,9,cross-correlation_lag0,24H,7,0.736909049,2,1,0.772888899,2,26.21228706,0.923405647
1,9,cross-correlation_lag0,24H,7,0.643405062,2,1,0.772888899,3,43.08104103,0.762380044
1,9,cross-correlation_lag0,24H,7,0.56550306,2,1,0.772888899,4,46.95451725,1.101265033
1,9,cross-correlation_lag0,24H,7,0.73342809,2,1,0.772888899,5,21.50425849,0.820215464
1,9,cross-correlation_lag0,24H,7,0.827024188,2,1,0.772888899,6,13.72646058,0.855398099
1,9,cross-correlation_lag0,24H,7,0.615431546,2,1,0.772888899,7,42.27067713,0.926666657
1,9,cross-correlation_lag0,24H,7,0.692186216,2,1,0.772888899,8,33.16082709,0.965455691
1,9,cross-correlation_lag0,24H,7,0.721126556,2,1,0.772888899,9,23.51627224,0.944933097
1,9,cross-correlation_lag0,24H,7,0.607346721,2,1,0.772888899,10,40.35819741,1.230961561
1,9,cross-correlation_lag0,24H,7,0.673433445,2,1,0.772888899,11,36.3266383,0.941491365
1,9,cross-correlation_lag0,24H,7,0.696566008,2,1,0.772888899,12,30.71894923,0.981775045
1,9,cross-correlation_lag0,24H,7,0.704473272,2,1,0.772888899,13,21.38471721,0.859393915
1,9,cross-correlation_lag0,24H,7,0.674192522,2,1,0.772888899,14,25.79545886,0.916539907
1,9,cross-correlation_lag0,24H,7,0.721222543,2,1,0.772888899,15,36.97039694,0.982603153
1,9,cross-correlation_lag0,24H,8,0.776027134,2,1,0.728498697,2,26.21228706,0.705774307
1,9,cross-correlation_lag0,24H,8,0.784978938,2,1,0.728498697,3,43.08104103,0.821059465
1,9,cross-correlation_lag0,24H,8,0.678321864,2,1,0.728498697,4,46.95451725,1.007590135
1,9,cross-correlation_lag0,24H,8,0.806339897,2,1,0.728498697,5,21.50425849,0.691730738
1,9,cross-correlation_lag0,24H,8,0.813914074,2,1,0.728498697,6,13.72646058,0.852016131
1,9,cross-correlation_lag0,24H,8,0.650211981,2,1,0.728498697,7,42.27067713,0.892606735
1,9,cross-correlation_lag0,24H,8,0.713573956,2,1,0.728498697,8,33.16082709,0.923592647
1,9,cross-correlation_lag0,24H,8,0.794929467,2,1,0.728498697,9,23.51627224,0.890031735
1,9,cross-correlation_lag0,24H,8,0.647157986,2,1,0.728498697,10,40.35819741,1.051781178
1,9,cross-correlation_lag0,24H,8,0.793419818,2,1,0.728498697,11,36.3266383,0.94429485
1,9,cross-correlation_lag0,24H,8,0.744171944,2,1,0.728498697,12,30.71894923,0.997244596
1,9,cross-correlation_lag0,24H,8,0.830647087,2,1,0.728498697,13,21.38471721,0.771594763
1,9,cross-correlation_lag0,24H,8,0.842362406,2,1,0.728498697,14,25.79545886,0.758078893
1,9,cross-correlation_lag0,24H,8,0.808283882,2,1,0.728498697,15,36.97039694,0.94036754
1,9,cross-correlation_lag0,24H,9,0.797350354,2,1,0.600522876,2,26.21228706,0.546772083
1,9,cross-correlation_lag0,24H,9,0.733478782,2,1,0.600522876,3,43.08104103,0.654575149
1,9,cross-correlation_lag0,24H,9,0.720097652,2,1,0.600522876,4,46.95451725,0.862664064
1,9,cross-correlation_lag0,24H,9,0.800700128,2,1,0.600522876,5,21.50425849,0.500328739
1,9,cross-correlation_lag0,24H,9,0.847000504,2,1,0.600522876,6,13.72646058,0.633752624
1,9,cross-correlation_lag0,24H,9,0.726097535,2,1,0.600522876,7,42.27067713,0.703725497
1,9,cross-correlation_lag0,24H,9,0.727948075,2,1,0.600522876,8,33.16082709,0.797834635
1,9,cross-correlation_lag0,24H,9,0.793465021,2,1,0.600522876,9,23.51627224,0.736023664
1,9,cross-correlation_lag0,24H,9,0.759112486,2,1,0.600522876,10,40.35819741,0.874293248
1,9,cross-correlation_lag0,24H,9,0.704706365,2,1,0.600522876,11,36.3266383,0.858431339
1,9,cross-correlation_lag0,24H,9,0.765111296,2,1,0.600522876,12,30.71894923,0.800138871
1,9,cross-correlation_lag0,24H,9,0.843707653,2,1,0.600522876,13,21.38471721,0.646638354
1,9,cross-correlation_lag0,24H,9,0.840516963,2,1,0.600522876,14,25.79545886,0.568041921
1,9,cross-correlation_lag0,24H,9,0.719060186,2,1,0.600522876,15,36.97039694,0.826326132
1,9,cross-correlation_lag0,24H,10,0.858511648,2,1,0.474003792,2,26.21228706,0.513549606
1,9,cross-correlation_lag0,24H,10,0.877952498,2,1,0.474003792,3,43.08104103,0.552911083
1,9,cross-correlation_lag0,24H,10,0.786589653,2,1,0.474003792,4,46.95451725,0.894010385
1,9,cross-correlation_lag0,24H,10,0.935749019,2,1,0.474003792,5,21.50425849,0.448063493
