Point_ID,Statistic_ID,Name,Duration,Month,Value,Point_ID2,Distance,Phi2
1,9,cross-correlation_lag0,24H,8,0.720380723,11,36.3266383,0.94429485
1,9,cross-correlation_lag0,24H,8,0.753070481,12,30.71894923,0.997244596
1,9,cross-correlation_lag0,24H,8,0.816032181,13,21.38471721,0.771594763
1,9,cross-correlation_lag0,24H,8,0.784909134,14,25.79545886,0.758078893
1,9,cross-correlation_lag0,24H,8,0.71686138,15,36.97039694,0.94036754
1,9,cross-correlation_lag0,24H,9,0.825415945,2,26.21228706,0.546772083
1,9,cross-correlation_lag0,24H,9,0.737941179,3,43.08104103,0.654575149
1,9,cross-correlation_lag0,24H,9,0.720667947,4,46.95451725,0.862664064
1,9,cross-correlation_lag0,24H,9,0.853516642,5,21.50425849,0.500328739
1,9,cross-correlation_lag0,24H,9,0.903391558,6,13.72646058,0.633752624
1,9,cross-correlation_lag0,24H,9,0.741682916,7,42.27067713,0.703725497
1,9,cross-correlation_lag0,24H,9,0.786904163,8,33.16082709,0.797834635
1,9,cross-correlation_lag0,24H,9,0.841310138,9,23.51627224,0.736023664
1,9,cross-correlation_lag0,24H,9,0.7506924,10,40.35819741,0.874293248
1,9,cross-correlation_lag0,24H,9,0.77052168,11,36.3266383,0.858431339
1,9,cross-correlation_lag0,24H,9,0.800035915,12,30.71894923,0.800138871
1,9,cross-correlation_lag0,24H,9,0.854251083,13,21.38471721,0.646638354
1,9,cross-correlation_lag0,24H,9,0.82783859,14,25.79545886,0.568041921
1,9,cross-correlation_lag0,24H,9,0.767278249,15,36.97039694,0.826326132
1,9,cross-correlation_lag0,24H,10,0.877205166,2,26.21228706,0.513549606
1,9,cross-correlation_lag0,24H,10,0.810115711,3,43.08104103,0.552911083
1,9,cross-correlation_lag0,24H,10,0.796187585,4,46.95451725,0.894010385
1,9,cross-correlation_lag0,24H,10,0.8977693,5,21.50425849,0.448063493
1,9,cross-correlation_lag0,24H,10,0.933362664,6,13.72646058,0.594949484
1,9,cross-correlation_lag0,24H,10,0.813099039,7,42.27067713,0.591761708
1,9,cross-correlation_lag0,24H,10,0.848303062,8,33.16082709,0.806653976
1,9,cross-correlation_lag0,24H,10,0.888886426,9,23.51627224,0.578136881
1,9,cross-correlation_lag0,24H,10,0.820235549,10,40.35819741,0.931368828
1,9,cross-correlation_lag0,24H,10,0.835721646,11,36.3266383,0.697849433
1,9,cross-correlation_lag0,24H,10,0.85825951,12,30.71894923,0.778205156
1,9,cross-correlation_lag0,24H,10,0.898301433,13,21.38471721,0.59946239
1,9,cross-correlation_lag0,24H,10,0.878994395,14,25.79545886,0.505481203
1,9,cross-correlation_lag0,24H,10,0.833208535,15,36.97039694,0.710899909
1,9,cross-correlation_lag0,24H,11,0.872233834,2,26.21228706,0.6046772
1,9,cross-correlation_lag0,24H,11,0.803685239,3,43.08104103,0.654967308
1,9,cross-correlation_lag0,24H,11,0.789604283,4,46.95451725,1.037692865
1,9,cross-correlation_lag0,24H,11,0.893455504,5,21.50425849,0.487753749
1,9,cross-correlation_lag0,24H,11,0.930380649,6,13.72646058,0.715537866
1,9,cross-correlation_lag0,24H,11,0.806708558,7,42.27067713,0.671764692
1,9,cross-correlation_lag0,24H,11,0.842565771,8,33.16082709,0.929927985
1,9,cross-correlation_lag0,24H,11,0.884277783,9,23.51627224,0.700986226
1,9,cross-correlation_lag0,24H,11,0.81395081,10,40.35819741,1.034143051
1,9,cross-correlation_lag0,24H,11,0.829713741,11,36.3266383,0.78725489
